img4_F1.jpg Grila: Fizica 1, [11 Matematica], [8 Fizica]. Nota finala: 6.7
img5_F1.jpg Grila: Fizica 1, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img9_F1.jpg Grila: Fizica 1, [10 Matematica], [9 Fizica]. Nota finala: 6.7
img26_F1.jpg Grila: Fizica 1, [6 Matematica], [10 Fizica]. Nota finala: 5.8
img34_F1.jpg Grila: Fizica 1, [10 Matematica], [7 Fizica]. Nota finala: 6.1
img37_F1.jpg Grila: Fizica 1, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img41_F1.jpg Grila: Fizica 1, [14 Matematica], [14 Fizica]. Nota finala: 9.4
img47_F1.jpg Grila: Fizica 1, [9 Matematica], [10 Fizica]. Nota finala: 6.7
img52_F1.jpg Grila: Fizica 1, [9 Matematica], [10 Fizica]. Nota finala: 6.7
img54_F1.jpg Grila: Fizica 1, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img56_F1.jpg Grila: Fizica 1, [12 Matematica], [14 Fizica]. Nota finala: 8.8
img61_F1.jpg Grila: Fizica 1, [12 Matematica], [13 Fizica]. Nota finala: 8.5
img62_F1.jpg Grila: Fizica 1, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img66_F1.jpg Grila: Fizica 1, [6 Matematica], [8 Fizica]. Nota finala: 5.2
img67_F1.jpg Grila: Fizica 1, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img73_F1.jpg Grila: Fizica 1, [7 Matematica], [7 Fizica]. Nota finala: 5.2
img76_F1.jpg Grila: Fizica 1, [12 Matematica], [12 Fizica]. Nota finala: 8.2
img78_F1.jpg Grila: Fizica 1, [8 Matematica], [11 Fizica]. Nota finala: 6.7
img84_F1.jpg Grila: Fizica 1, [9 Matematica], [12 Fizica]. Nota finala: 7.3
img88_F1.jpg Grila: Fizica 1, [10 Matematica], [13 Fizica]. Nota finala: 7.9
img92_F1.jpg Grila: Fizica 1, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img94_F1.jpg Grila: Fizica 1, [11 Matematica], [7 Fizica]. Nota finala: 6.4
img96_F1.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img102_F1.jpg Grila: Fizica 1, [9 Matematica], [7 Fizica]. Nota finala: 5.8
img106_F1.jpg Grila: Fizica 1, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img124_F1.jpg Grila: Fizica 1, [5 Matematica], [4 Fizica]. Nota finala: 3.7
img125_F1.jpg Grila: Fizica 1, [10 Matematica], [8 Fizica]. Nota finala: 6.4
img129_F1.jpg Grila: Fizica 1, [10 Matematica], [9 Fizica]. Nota finala: 6.7
img133_F1.jpg Grila: Fizica 1, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img134_F1.jpg Grila: Fizica 1, [13 Matematica], [10 Fizica]. Nota finala: 7.9
img142_F1.jpg Grila: Fizica 1, [12 Matematica], [9 Fizica]. Nota finala: 7.3
img145_F1.jpg Grila: Fizica 1, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img154_F1.jpg Grila: Fizica 1, [10 Matematica], [7 Fizica]. Nota finala: 6.1
img160_F1.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img167_F1.jpg Grila: Fizica 1, [11 Matematica], [7 Fizica]. Nota finala: 6.4
img190_F1.jpg Grila: Fizica 1, [10 Matematica], [12 Fizica]. Nota finala: 7.6
img191_F1.jpg Grila: Fizica 1, [13 Matematica], [9 Fizica]. Nota finala: 7.6
