img7_I4.jpg Grila: Informatica 4, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img19_I4.jpg Grila: Informatica 4, [11 Matematica], [9 Informatica]. Nota finala: 7.0
img25_I4.jpg Grila: Informatica 4, [6 Matematica], [7 Informatica]. Nota finala: 4.9
img28_I4.jpg Grila: Informatica 4, [4 Matematica], [5 Informatica]. Nota finala: 3.7
img38_I4.jpg Grila: Informatica 4, [9 Matematica], [7 Informatica]. Nota finala: 5.8
img39_I4.jpg Grila: Informatica 4, [7 Matematica], [1 Informatica]. Nota finala: 3.4
img43_I4.jpg Grila: Informatica 4, [10 Matematica], [10 Informatica]. Nota finala: 7.0
img50_I4.jpg Grila: Informatica 4, [10 Matematica], [6 Informatica]. Nota finala: 5.8
img60_I4.jpg Grila: Informatica 4, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img64_I4.jpg Grila: Informatica 4, [8 Matematica], [5 Informatica]. Nota finala: 4.9
img68_I4.jpg Grila: Informatica 4, [11 Matematica], [6 Informatica]. Nota finala: 6.1
img72_I4.jpg Grila: Informatica 4, [10 Matematica], [11 Informatica]. Nota finala: 7.3
img79_I4.jpg Grila: Informatica 4, [12 Matematica], [10 Informatica]. Nota finala: 7.6
img80_I4.jpg Grila: Informatica 4, [11 Matematica], [7 Informatica]. Nota finala: 6.4
img115_I4.jpg Grila: Informatica 4, [7 Matematica], [9 Informatica]. Nota finala: 5.8
img117_I4.jpg Grila: Informatica 4, [7 Matematica], [8 Informatica]. Nota finala: 5.5
img118_I4.jpg Grila: Informatica 4, [4 Matematica], [4 Informatica]. Nota finala: 3.4
img119_I4.jpg Grila: Informatica 4, [2 Matematica], [2 Informatica]. Nota finala: 2.2
img121_I4.jpg Grila: Informatica 4, [2 Matematica], [2 Informatica]. Nota finala: 2.2
img127_I4.jpg Grila: Informatica 4, [9 Matematica], [11 Informatica]. Nota finala: 7.0
img128_I4.jpg Grila: Informatica 4, [9 Matematica], [8 Informatica]. Nota finala: 6.1
img130_I4.jpg Grila: Informatica 4, [2 Matematica], [4 Informatica]. Nota finala: 2.8
img157_I4.jpg Grila: Informatica 4, [6 Matematica], [7 Informatica]. Nota finala: 4.9
img176_I4.jpg Grila: Informatica 4, [13 Matematica], [10 Informatica]. Nota finala: 7.9
img179_I4.jpg Grila: Informatica 4, [7 Matematica], [8 Informatica]. Nota finala: 5.5
img180_I4.jpg Grila: Informatica 4, [3 Matematica], [3 Informatica]. Nota finala: 2.8
