Profesor comisie: prof dr. Ion Ion
Teste evaluate la: 2017-06-06 18:07:45
_____________________________________________________________________________________
img1_F3.jpg Grila: Fizica 3, [6 Matematica], [6 Fizica]. Nota finala: 4.6
img2_F2.jpg Grila: Fizica 2, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img3_F2.jpg Grila: Fizica 2, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img4_F1.jpg Grila: Fizica 1, [11 Matematica], [8 Fizica]. Nota finala: 6.7
img5_F1.jpg Grila: Fizica 4, [3 Matematica], [3 Fizica]. Nota finala: 2.8
img6_I2.jpg Grila: Informatica 2, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img7_I4.jpg Grila: Informatica 4, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img8_F3.jpg Grila: Fizica 3, [9 Matematica], [13 Fizica]. Nota finala: 7.6
img9_F1.jpg Grila: Fizica 4, [2 Matematica], [2 Fizica]. Nota finala: 2.2
img10_F3.jpg Grila: Fizica 3, [7 Matematica], [11 Fizica]. Nota finala: 6.4
img11_F3.jpg Grila: Fizica 2, [1 Matematica], [5 Fizica]. Nota finala: 2.8
img12_F4.jpg Grila: Fizica 3, [1 Matematica], [1 Fizica]. Nota finala: 1.6
img13_I1.jpg Grila: Informatica 3, [3 Matematica], [2 Informatica]. Nota finala: 2.5
img14_F2.jpg Grila: Fizica 2, [11 Matematica], [6 Fizica]. Nota finala: 6.1
img15_F3.jpg Grila: Fizica 3, [13 Matematica], [9 Fizica]. Nota finala: 7.6
img16_F4.jpg Grila: Fizica 3, [2 Matematica], [2 Fizica]. Nota finala: 2.2
img17_F2.jpg Grila: Fizica 2, [14 Matematica], [11 Fizica]. Nota finala: 8.5
img18_F3.jpg Grila: Fizica 3, [8 Matematica], [7 Fizica]. Nota finala: 5.5
img19_I4.jpg Grila: Informatica 4, [11 Matematica], [9 Informatica]. Nota finala: 7.0
img20_F4.jpg Grila: Fizica 4, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img21_I2.jpg Grila: Informatica 2, [8 Matematica], [5 Informatica]. Nota finala: 4.9
img22_F3.jpg Grila: Fizica 3, [10 Matematica], [9 Fizica]. Nota finala: 6.7
img23_I2.jpg Grila: Informatica 2, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img24_I1.jpg Grila: Informatica 4, [2 Matematica], [2 Informatica]. Nota finala: 2.2
img25_I4.jpg Grila: Informatica 4, [6 Matematica], [7 Informatica]. Nota finala: 4.9
img26_F1.jpg Grila: Fizica 4, [3 Matematica], [2 Fizica]. Nota finala: 2.5
img27_I3.jpg Grila: Informatica 3, [6 Matematica], [3 Informatica]. Nota finala: 3.7
img28_I4.jpg Grila: Informatica 4, [4 Matematica], [5 Informatica]. Nota finala: 3.7
img29_I3.jpg Grila: Informatica 3, [4 Matematica], [5 Informatica]. Nota finala: 3.7
img30_I1.jpg Grila: Informatica 4, [2 Matematica], [2 Informatica]. Nota finala: 2.2
img31_I3.jpg Grila: Informatica 3, [2 Matematica], [5 Informatica]. Nota finala: 3.1
img32_I3.jpg Grila: Informatica 2, [4 Matematica], [6 Informatica]. Nota finala: 4.0
img33_F4.jpg Grila: Fizica 4, [13 Matematica], [13 Fizica]. Nota finala: 8.8
img34_F1.jpg Grila: Fizica 1, [10 Matematica], [7 Fizica]. Nota finala: 6.1
img35_F3.jpg Grila: Fizica 4, [5 Matematica], [3 Fizica]. Nota finala: 3.4
img36_F2.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img37_F1.jpg Grila: Fizica 1, [10 Matematica], [10 Fizica]. Nota finala: 7.0
img38_I4.jpg Grila: Informatica 4, [9 Matematica], [7 Informatica]. Nota finala: 5.8
img39_I4.jpg Grila: Informatica 4, [7 Matematica], [1 Informatica]. Nota finala: 3.4
img40_I1.jpg Grila: Informatica 1, [8 Matematica], [1 Informatica]. Nota finala: 3.7
img41_F1.jpg Grila: Fizica 1, [14 Matematica], [14 Fizica]. Nota finala: 9.4
img42_F2.jpg Grila: Fizica 2, [9 Matematica], [9 Fizica]. Nota finala: 6.4
